ANO,CATEGORIA,MORTES
1995,Fatalities by a tree,0
1996,Fatalities by a tree,1
1997,Fatalities by a tree,0
1998,Fatalities by a tree,0
1999,Fatalities by a tree,0
2000,Fatalities by a tree,0
2001,Fatalities by a tree,0
2002,Fatalities by a tree,1
2003,Fatalities by a tree,0
2004,Fatalities by a tree,0
2005,Fatalities by a tree,0
2006,Fatalities by a tree,0
2007,Fatalities by a tree,0
2008,Fatalities by a tree,0
2009,Fatalities by a tree,0
2010,Fatalities by a tree,0
2011,Fatalities by a tree,0
2012,Fatalities by a tree,2
1995,Fatalities in the open,1
1996,Fatalities in the open,0
1997,Fatalities in the open,0
1998,Fatalities in the open,2
1999,Fatalities in the open,1
2000,Fatalities in the open,0
2001,Fatalities in the open,1
2002,Fatalities in the open,1
2003,Fatalities in the open,0
2004,Fatalities in the open,0
2005,Fatalities in the open,1
2006,Fatalities in the open,0
2007,Fatalities in the open,0
2008,Fatalities in the open,0
2009,Fatalities in the open,0
2010,Fatalities in the open,1
2011,Fatalities in the open,0
2012,Fatalities in the open,0
1995,Fatalities on golf courses,0
1996,Fatalities on golf courses,0
1997,Fatalities on golf courses,0
1998,Fatalities on golf courses,0
1999,Fatalities on golf courses,2
2000,Fatalities on golf courses,0
2001,Fatalities on golf courses,0
2002,Fatalities on golf courses,0
2003,Fatalities on golf courses,0
2004,Fatalities on golf courses,0
2005,Fatalities on golf courses,0
2006,Fatalities on golf courses,0
2007,Fatalities on golf courses,0
2008,Fatalities on golf courses,0
2009,Fatalities on golf courses,0
2010,Fatalities on golf courses,0
2011,Fatalities on golf courses,1
2012,Fatalities on golf courses,0
1995,Fatalities on boats,0
1996,Fatalities on boats,0
1997,Fatalities on boats,0
1998,Fatalities on boats,2
1999,Fatalities on boats,1
2000,Fatalities on boats,2
2001,Fatalities on boats,0
2002,Fatalities on boats,0
2003,Fatalities on boats,0
2004,Fatalities on boats,1
2005,Fatalities on boats,0
2006,Fatalities on boats,0
2007,Fatalities on boats,0
2008,Fatalities on boats,0
2009,Fatalities on boats,1
2010,Fatalities on boats,0
2011,Fatalities on boats,0
2012,Fatalities on boats,0
